Country Name,Country Code,Series Name,Series Code,2014 [YR2014]
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.253727945460333
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.90006971019389
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.73580277736793
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.83290621488897
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.66474073594027
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.70480326699942
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.5882296019405
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.89871937365811
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.41006417792511
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,15.3911090819668
Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.89217966113277
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.92079237099137
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.34197980212231
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,23.4773631719776
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.477335997184109
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.40310366014219
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.62842040079958
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.34713437535379
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.40094123373499
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.522592064697796
