"Kuntien avainluvut"

"Alue 2020";"Eläkeläisten osuus väestöstä, %, 2018"
"KOKO MAA";25.9
"Akaa";27.3
"Alajärvi";33.0
"Alavieska";28.7
"Alavus";32.7
"Asikkala";37.2
"Askola";22.8
"Aura";22.3
"Brändö";35.9
"Eckerö";26.1
"Enonkoski";42.2
"Enontekiö";33.3
"Espoo";16.8
"Eura";31.8
"Eurajoki";28.7
"Evijärvi";32.4
"Finström";23.4
"Forssa";35.3
"Föglö";30.0
"Geta";23.9
"Haapajärvi";30.1
"Haapavesi";28.6
"Hailuoto";43.5
"Halsua";36.5
"Hamina";34.6
"Hammarland";22.4
"Hankasalmi";36.9
"Hanko";36.1
"Harjavalta";36.3
"Hartola";43.6
"Hattula";26.1
"Hausjärvi";25.1
"Heinola";38.5
"Heinävesi";45.1
"Helsinki";19.6
"Hirvensalmi";42.4
"Hollola";27.9
"Honkajoki";34.7
"Huittinen";33.4
"Humppila";32.8
"Hyrynsalmi";48.1
"Hyvinkää";25.7
"Hämeenkyrö";28.6
"Hämeenlinna";29.4
"Ii";25.7
"Iisalmi";31.3
"Iitti";35.1
"Ikaalinen";35.7
"Ilmajoki";25.7
"Ilomantsi";47.0
"Imatra";35.4
"Inari";31.1
"Inkoo";28.2
"Isojoki";37.6
"Isokyrö";31.8
"Janakkala";28.2
"Joensuu";25.8
"Jokioinen";29.2
"Jomala";16.2
"Joroinen";35.3
"Joutsa";42.9
"Juuka";43.7
"Juupajoki";35.8
"Juva";39.5
"Jyväskylä";21.7
"Jämijärvi";35.3
"Jämsä";35.8
"Järvenpää";21.3
"Kaarina";24.0
"Kaavi";43.6
"Kajaani";28.1
"Kalajoki";29.1
"Kangasala";23.4
"Kangasniemi";42.1
"Kankaanpää";32.1
"Kannonkoski";41.5
"Kannus";27.7
"Karijoki";40.4
"Karkkila";30.1
"Karstula";38.6
"Karvia";38.2
"Kaskinen";44.1
"Kauhajoki";32.1
"Kauhava";32.8
"Kauniainen";23.3
"Kaustinen";25.6
"Keitele";41.8
"Kemi";33.8
"Kemijärvi";45.1
"Keminmaa";29.5
"Kemiönsaari";38.1
"Kempele";18.8
"Kerava";22.3
"Keuruu";38.2
"Kihniö";37.4
"Kinnula";39.1
"Kirkkonummi";19.0
"Kitee";40.8
"Kittilä";25.6
"Kiuruvesi";36.4
"Kivijärvi";45.9
"Kokemäki";35.4
"Kokkola";25.6
"Kolari";31.1
"Konnevesi";37.9
"Kontiolahti";20.5
"Korsnäs";30.6
"Koski Tl";36.8
"Kotka";31.6
"Kouvola";32.9
"Kristiinankaupunki";39.6
"Kruunupyy";28.1
"Kuhmo";42.8
"Kuhmoinen";48.8
"Kumlinge";35.9
"Kuopio";25.7
"Kuortane";36.2
"Kurikka";34.1
"Kustavi";43.7
"Kuusamo";33.3
"Kyyjärvi";38.0
"Kärkölä";31.4
"Kärsämäki";33.1
"Kökar";36.4
"Lahti";28.2
"Laihia";26.4
"Laitila";28.5
"Lapinjärvi";33.5
"Lapinlahti";33.1
"Lappajärvi";38.6
"Lappeenranta";27.8
"Lapua";28.5
"Laukaa";23.6
"Lemi";29.4
"Lemland";19.4
"Lempäälä";19.5
"Leppävirta";36.1
"Lestijärvi";38.1
"Lieksa";43.7
"Lieto";21.9
"Liminka";12.6
"Liperi";26.3
"Lohja";27.4
"Loimaa";34.7
"Loppi";29.0
"Loviisa";33.1
"Luhanka";47.9
"Lumijoki";21.8
"Lumparland";28.5
"Luoto";16.3
"Luumäki";38.2
"Maalahti";30.5
"Maarianhamina";24.5
"Marttila";31.1
"Masku";21.3
"Merijärvi";27.3
"Merikarvia";39.9
"Miehikkälä";43.4
"Mikkeli";30.3
"Muhos";22.6
"Multia";40.9
"Muonio";30.5
"Mustasaari";23.8
"Muurame";20.7
"Mynämäki";30.6
"Myrskylä";31.2
"Mäntsälä";22.3
"Mänttä-Vilppula";39.9
"Mäntyharju";41.3
"Naantali";29.3
"Nakkila";32.0
"Nivala";26.5
"Nokia";24.3
"Nousiainen";23.3
"Nurmes";41.2
"Nurmijärvi";19.0
"Närpiö";31.4
"Orimattila";28.8
"Oripää";30.3
"Orivesi";33.9
"Oulainen";30.7
"Oulu";19.9
"Outokumpu";37.1
"Padasjoki";45.1
"Paimio";25.0
"Paltamo";40.1
"Parainen";31.2
"Parikkala";45.2
"Parkano";37.7
"Pedersören kunta";20.3
"Pelkosenniemi";43.0
"Pello";45.9
"Perho";27.3
"Pertunmaa";42.0
"Petäjävesi";28.7
"Pieksämäki";38.4
"Pielavesi";42.4
"Pietarsaari";29.1
"Pihtipudas";36.5
"Pirkkala";20.6
"Polvijärvi";39.1
"Pomarkku";36.6
"Pori";30.1
"Pornainen";18.7
"Porvoo";24.2
"Posio";46.4
"Pudasjärvi";38.2
"Pukkila";26.4
"Punkalaidun";39.1
"Puolanka";46.6
"Puumala";46.7
"Pyhtää";30.5
"Pyhäjoki";33.1
"Pyhäjärvi";40.4
"Pyhäntä";27.9
"Pyhäranta";31.7
"Pälkäne";33.7
"Pöytyä";29.0
"Raahe";29.8
"Raasepori";30.5
"Raisio";26.8
"Rantasalmi";39.5
"Ranua";34.3
"Rauma";29.2
"Rautalampi";40.0
"Rautavaara";48.5
"Rautjärvi";45.9
"Reisjärvi";32.0
"Riihimäki";25.8
"Ristijärvi";43.4
"Rovaniemi";23.5
"Ruokolahti";39.6
"Ruovesi";41.7
"Rusko";22.0
"Rääkkylä";46.2
"Saarijärvi";37.0
"Salla";45.5
"Salo";31.2
"Saltvik";24.5
"Sastamala";33.9
"Sauvo";30.0
"Savitaipale";41.6
"Savonlinna";36.2
"Savukoski";39.1
"Seinäjoki";23.3
"Sievi";23.8
"Siikainen";41.9
"Siikajoki";27.7
"Siikalatva";36.5
"Siilinjärvi";24.4
"Simo";39.2
