Vuosi,Kk,Pv,Klo,Aikavyöhyke,Kuukauden sadesumma (mm),Kuukauden keskilämpötila (degC)
1980,1,1,00:00,UTC,15.4,-9.5
1980,2,1,00:00,UTC,8.2,-10.1
1980,3,1,00:00,UTC,5.2,-6.5
1980,4,1,00:00,UTC,19.7,4.2
1980,5,1,00:00,UTC,22.9,7.3
1980,6,1,00:00,UTC,44.2,17.1
1980,7,1,00:00,UTC,56.2,17
1980,8,1,00:00,UTC,80.7,14.4
1980,9,1,00:00,UTC,46.1,10.5
1980,10,1,00:00,UTC,123.8,4.3
1980,11,1,00:00,UTC,64.1,-4.2
1980,12,1,00:00,UTC,39.9,-4.8
1981,1,1,00:00,UTC,41.1,-5.7
1981,2,1,00:00,UTC,12.7,-7.8
1981,3,1,00:00,UTC,45.4,-7.1
1981,4,1,00:00,UTC,7.9,0.8
1981,5,1,00:00,UTC,24.5,11.4
1981,6,1,00:00,UTC,169.4,12.7
1981,7,1,00:00,UTC,119.8,16.7
1981,8,1,00:00,UTC,95.3,13.4
1981,9,1,00:00,UTC,31.1,9.2
1981,10,1,00:00,UTC,112.1,5.3
1981,11,1,00:00,UTC,71.5,-0.9
1981,12,1,00:00,UTC,81.7,-8.2
1982,1,1,00:00,UTC,33.4,-12.3
1982,2,1,00:00,UTC,8.8,-6.7
1982,3,1,00:00,UTC,19.3,-0.7
1982,4,1,00:00,UTC,43.6,2
1982,5,1,00:00,UTC,59.1,8.5
1982,6,1,00:00,UTC,16.1,11.2
1982,7,1,00:00,UTC,36.9,17
1982,8,1,00:00,UTC,136.7,15.7
1982,9,1,00:00,UTC,35.1,9.5
1982,10,1,00:00,UTC,24.4,3.5
1982,11,1,00:00,UTC,100.6,2.5
1982,12,1,00:00,UTC,53.3,-1.7
1983,1,1,00:00,UTC,66.5,-2.8
1983,2,1,00:00,UTC,5.1,-9.4
1983,3,1,00:00,UTC,23.4,-4
1983,4,1,00:00,UTC,31.4,4.8
1983,5,1,00:00,UTC,45.1,11.1
1983,6,1,00:00,UTC,72.5,13.6
1983,7,1,00:00,UTC,42.4,16.8
1983,8,1,00:00,UTC,46.3,14.6
1983,9,1,00:00,UTC,79.3,11.1
1983,10,1,00:00,UTC,70.7,4.9
1983,11,1,00:00,UTC,40.1,-2.9
1983,12,1,00:00,UTC,91,-4.7
1984,1,1,00:00,UTC,62.4,-6.3
1984,2,1,00:00,UTC,35.2,-5.7
1984,3,1,00:00,UTC,44.3,-5.6
1984,4,1,00:00,UTC,23.4,3.9
1984,5,1,00:00,UTC,35.4,12.8
1984,6,1,00:00,UTC,78.5,13.6
1984,7,1,00:00,UTC,67.7,15.2
1984,8,1,00:00,UTC,34.5,14.1
1984,9,1,00:00,UTC,78.1,9.2
1984,10,1,00:00,UTC,88.1,6.2
1984,11,1,00:00,UTC,39.7,0.5
1984,12,1,00:00,UTC,34.8,-2.7
1985,1,1,00:00,UTC,28.5,-17.3
1985,2,1,00:00,UTC,25.2,-16.9
1985,3,1,00:00,UTC,32.1,-2.6
1985,4,1,00:00,UTC,41.5,0.7
1985,5,1,00:00,UTC,41.1,8.4
1985,6,1,00:00,UTC,72.5,13.5
1985,7,1,00:00,UTC,48.7,15.6
1985,8,1,00:00,UTC,80.9,15.6
1985,9,1,00:00,UTC,71,9
1985,10,1,00:00,UTC,49.7,6.2
1985,11,1,00:00,UTC,41.3,-2.3
1985,12,1,00:00,UTC,45.7,-8.1
1986,1,1,00:00,UTC,40.8,-10.1
1986,2,1,00:00,UTC,14.9,-12.4
1986,3,1,00:00,UTC,20.7,-1.1
1986,4,1,00:00,UTC,45,1.8
1986,5,1,00:00,UTC,42.5,10.8
1986,6,1,00:00,UTC,39.5,16.6
1986,7,1,00:00,UTC,77.7,16.6
1986,8,1,00:00,UTC,98.3,13
1986,9,1,00:00,UTC,71.6,6.3
1986,10,1,00:00,UTC,64.7,5
1986,11,1,00:00,UTC,78.9,2.9
1986,12,1,00:00,UTC,52.3,-9.4
1987,1,1,00:00,UTC,26.9,-19.5
1987,2,1,00:00,UTC,21.8,-8.3
1987,3,1,00:00,UTC,12.8,-6.8
1987,4,1,00:00,UTC,0.9,2.5
1987,5,1,00:00,UTC,29.9,7.5
1987,6,1,00:00,UTC,88.4,12.4
1987,7,1,00:00,UTC,73.4,14.7
1987,8,1,00:00,UTC,95.4,11.6
1987,9,1,00:00,UTC,120.5,8.3
1987,10,1,00:00,UTC,36.3,6.3
1987,11,1,00:00,UTC,46.3,-1.3
1987,12,1,00:00,UTC,33.4,-5.7
1988,1,1,00:00,UTC,38.2,-4.1
1988,2,1,00:00,UTC,38,-5.1
1988,3,1,00:00,UTC,52.7,-3.6
1988,4,1,00:00,UTC,74.9,0.8
1988,5,1,00:00,UTC,90.9,10.7
1988,6,1,00:00,UTC,68.9,16.6
1988,7,1,00:00,UTC,218.5,19.2
1988,8,1,00:00,UTC,86.1,13.9
1988,9,1,00:00,UTC,81.7,10.5
1988,10,1,00:00,UTC,63.6,4.1
1988,11,1,00:00,UTC,8.4,-4.3
1988,12,1,00:00,UTC,53.6,-7.5
1989,1,1,00:00,UTC,30.6,-0.9
1989,2,1,00:00,UTC,38.6,-0.5
1989,3,1,00:00,UTC,37.2,0.8
1989,4,1,00:00,UTC,60.4,5.2
1989,5,1,00:00,UTC,34.8,10.6
1989,6,1,00:00,UTC,36.1,15.9
1989,7,1,00:00,UTC,68.8,16.8
1989,8,1,00:00,UTC,64.1,14.2
1989,9,1,00:00,UTC,22,11
1989,10,1,00:00,UTC,44.6,4.2
1989,11,1,00:00,UTC,41.3,-0.2
1989,12,1,00:00,UTC,36.3,-6.3
1990,1,1,00:00,UTC,72.5,-5.3
1990,2,1,00:00,UTC,72.3,0.4
1990,3,1,00:00,UTC,42.2,-0.1
1990,4,1,00:00,UTC,31,5.5
1990,5,1,00:00,UTC,37.5,9.3
1990,6,1,00:00,UTC,31.1,14.4
1990,7,1,00:00,UTC,82.3,15.6
1990,8,1,00:00,UTC,60.1,15.2
1990,9,1,00:00,UTC,34.6,8
1990,10,1,00:00,UTC,46.6,4.6
1990,11,1,00:00,UTC,41,-2.5
1990,12,1,00:00,UTC,29.9,-1.9
1991,1,1,00:00,UTC,57.2,-4.4
1991,2,1,00:00,UTC,14.5,-8
1991,3,1,00:00,UTC,38.1,-1.3
1991,4,1,00:00,UTC,18.1,3.7
1991,5,1,00:00,UTC,32,7.2
1991,6,1,00:00,UTC,68.8,12.5
1991,7,1,00:00,UTC,28.6,17.1
1991,8,1,00:00,UTC,105.2,16.4
1991,9,1,00:00,UTC,92.3,9
1991,10,1,00:00,UTC,53.4,5.2
1991,11,1,00:00,UTC,67.3,2.3
1991,12,1,00:00,UTC,37.6,-2.2
1992,1,1,00:00,UTC,35.6,-2.8
1992,2,1,00:00,UTC,33.5,-3.1
1992,3,1,00:00,UTC,32.4,0.3
1992,4,1,00:00,UTC,67,0.8
1992,5,1,00:00,UTC,17.7,11.6
1992,6,1,00:00,UTC,24.5,16.1
1992,7,1,00:00,UTC,68.2,15.5
1992,8,1,00:00,UTC,104.6,13.8
1992,9,1,00:00,UTC,53.2,11.1
1992,10,1,00:00,UTC,72.8,-1
1992,11,1,00:00,UTC,61.8,-2.5
1992,12,1,00:00,UTC,24.7,-0.3
1993,1,1,00:00,UTC,37.4,-2.6
1993,2,1,00:00,UTC,19.8,-3.7
1993,3,1,00:00,UTC,27.4,-1
1993,4,1,00:00,UTC,24.8,3.1
1993,5,1,00:00,UTC,4.1,13.3
1993,6,1,00:00,UTC,36.4,11.6
1993,7,1,00:00,UTC,85.5,16
1993,8,1,00:00,UTC,91.6,13.2
1993,9,1,00:00,UTC,24.4,5.9
1993,10,1,00:00,UTC,56.9,2.7
1993,11,1,00:00,UTC,3.3,-4
1993,12,1,00:00,UTC,40.8,-4.2
1994,1,1,00:00,UTC,39.5,-5.7
1994,2,1,00:00,UTC,1.5,-14.6
1994,3,1,00:00,UTC,56.6,-3.5
1994,4,1,00:00,UTC,27.9,4.8
1994,5,1,00:00,UTC,48.6,7.7
1994,6,1,00:00,UTC,52.4,12.6
1994,7,1,00:00,UTC,2.7,19.5
1994,8,1,00:00,UTC,76.2,15.3
1994,9,1,00:00,UTC,102.6,9.9
1994,10,1,00:00,UTC,79.3,3.9
1994,11,1,00:00,UTC,28.5,-1.4
1994,12,1,00:00,UTC,33.7,-0.9
1995,1,1,00:00,UTC,37.2,-4
1995,2,1,00:00,UTC,47.8,-1.4
1995,3,1,00:00,UTC,41.1,-0.5
1995,4,1,00:00,UTC,31.8,2.6
1995,5,1,00:00,UTC,93.7,8.9
1995,6,1,00:00,UTC,77.3,16.7
1995,7,1,00:00,UTC,34,15.5
1995,8,1,00:00,UTC,92.8,15.2
1995,9,1,00:00,UTC,35.8,10
1995,10,1,00:00,UTC,39.6,7.4
1995,11,1,00:00,UTC,45.7,-2.9
1995,12,1,00:00,UTC,17.3,-9.4
1996,1,1,00:00,UTC,11.2,-6.4
1996,2,1,00:00,UTC,22.9,-12
1996,3,1,00:00,UTC,31.9,-4.1
1996,4,1,00:00,UTC,25.1,2.9
1996,5,1,00:00,UTC,50.1,8.5
1996,6,1,00:00,UTC,44.1,13.5
1996,7,1,00:00,UTC,105,14.4
1996,8,1,00:00,UTC,8.8,17.5
1996,9,1,00:00,UTC,14.2,8.4
1996,10,1,00:00,UTC,46.3,6.2
1996,11,1,00:00,UTC,111,1.6
1996,12,1,00:00,UTC,29.1,-6.7
1997,1,1,00:00,UTC,39.8,-5.8
1997,2,1,00:00,UTC,37.4,-5.1
1997,3,1,00:00,UTC,18.4,-1.6
1997,4,1,00:00,UTC,47.4,0.5
1997,5,1,00:00,UTC,10.7,7.6
1997,6,1,00:00,UTC,104.8,16.7
1997,7,1,00:00,UTC,91.1,18.2
1997,8,1,00:00,UTC,12.9,18
1997,9,1,00:00,UTC,81.6,10
1997,10,1,00:00,UTC,51.5,1.9
1997,11,1,00:00,UTC,49.7,-1
1997,12,1,00:00,UTC,27.3,-4
1998,1,1,00:00,UTC,57.8,-3.2
1998,2,1,00:00,UTC,42.9,-6.2
1998,3,1,00:00,UTC,27.5,-5.4
1998,4,1,00:00,UTC,10.3,2.8
1998,5,1,00:00,UTC,49.1,8.7
1998,6,1,00:00,UTC,84.9,13.7
1998,7,1,00:00,UTC,103.7,15.6
1998,8,1,00:00,UTC,79.5,13.1
1998,9,1,00:00,UTC,27.3,10.5
1998,10,1,00:00,UTC,74.1,4.6
1998,11,1,00:00,UTC,9.7,-4
1998,12,1,00:00,UTC,49.7,-4.2
1999,1,1,00:00,UTC,42.7,-7.5
1999,2,1,00:00,UTC,58.1,-8.7
1999,3,1,00:00,UTC,35.6,-2.1
1999,4,1,00:00,UTC,41.1,4.9
1999,5,1,00:00,UTC,8.8,7.4
1999,6,1,00:00,UTC,54,17.8
1999,7,1,00:00,UTC,23.8,17.5
1999,8,1,00:00,UTC,59,14
1999,9,1,00:00,UTC,48.9,11.4
1999,10,1,00:00,UTC,110.8,5.5
1999,11,1,00:00,UTC,31.7,1.1
1999,12,1,00:00,UTC,69.5,-4.3
2000,1,1,00:00,UTC,28.4,-4.2
2000,2,1,00:00,UTC,36.1,-3.6
2000,3,1,00:00,UTC,34.5,-2.4
2000,4,1,00:00,UTC,36.6,5.1
2000,5,1,00:00,UTC,34.3,10.3
2000,6,1,00:00,UTC,39,13.9
2000,7,1,00:00,UTC,120.1,16
2000,8,1,00:00,UTC,59.5,14.2
2000,9,1,00:00,UTC,14.8,8.7
2000,10,1,00:00,UTC,58.9,7.8
2000,11,1,00:00,UTC,101.2,3.3
2000,12,1,00:00,UTC,45,0.1
2001,1,1,00:00,UTC,27.1,-2.9
2001,2,1,00:00,UTC,45.5,-9.3
2001,3,1,00:00,UTC,41.6,-4.9
2001,4,1,00:00,UTC,67.6,4.6
2001,5,1,00:00,UTC,32.6,8.4
2001,6,1,00:00,UTC,61.1,
2001,7,1,00:00,UTC,80.2,19.1
2001,8,1,00:00,UTC,31.8,15.5
2001,9,1,00:00,UTC,178.9,11
2001,10,1,00:00,UTC,80.8,6.7
2001,11,1,00:00,UTC,20.3,-1.1
2001,12,1,00:00,UTC,24.1,-8.7
2002,1,1,00:00,UTC,68.3,-5.5
2002,2,1,00:00,UTC,37.4,-2.4
2002,3,1,00:00,UTC,28.6,-1.1
2002,4,1,00:00,UTC,1.4,5.1
2002,5,1,00:00,UTC,59,11.4
2002,6,1,00:00,UTC,111.7,15.4
2002,7,1,00:00,UTC,75.1,18.3
2002,8,1,00:00,UTC,13.8,18.2
2002,9,1,00:00,UTC,11.8,9.8
2002,10,1,00:00,UTC,21.7,-0.5
2002,11,1,00:00,UTC,66,-4.3
2002,12,1,00:00,UTC,5.5,-9.4
2003,1,1,00:00,UTC,42.5,-11.4
2003,2,1,00:00,UTC,7.8,-7.3
2003,3,1,00:00,UTC,7.6,-1.4
2003,4,1,00:00,UTC,15.8,2
2003,5,1,00:00,UTC,92.4,9.6
2003,6,1,00:00,UTC,52.4,12.6
2003,7,1,00:00,UTC,35.4,20.2
2003,8,1,00:00,UTC,56.3,15.2
2003,9,1,00:00,UTC,9.5,10.6
2003,10,1,00:00,UTC,74,2.5
2003,11,1,00:00,UTC,43.5,1.5
2003,12,1,00:00,UTC,67.1,-2.4
2004,1,1,00:00,UTC,27,-8.1
2004,2,1,00:00,UTC,38.8,-5.5
2004,3,1,00:00,UTC,20.5,-1.9
2004,4,1,00:00,UTC,3.2,4.7
2004,5,1,00:00,UTC,55.5,9.4
2004,6,1,00:00,UTC,118.2,12
2004,7,1,00:00,UTC,131.5,15.7
2004,8,1,00:00,UTC,64.4,15.5
2004,9,1,00:00,UTC,97.3,11.1
2004,10,1,00:00,UTC,35,4.5
2004,11,1,00:00,UTC,34.6,-1
2004,12,1,00:00,UTC,64.6,-1.5
2005,1,1,00:00,UTC,78.3,-2.2
2005,2,1,00:00,UTC,13.2,-5.8
2005,3,1,00:00,UTC,7.6,-6.6
2005,4,1,00:00,UTC,12.9,4.1
2005,5,1,00:00,UTC,35,9.4
2005,6,1,00:00,UTC,73.1,13.6
2005,7,1,00:00,UTC,61.5,18.5
2005,8,1,00:00,UTC,135.7,15.3
2005,9,1,00:00,UTC,34.9,11.3
2005,10,1,00:00,UTC,38.1,6.3
2005,11,1,00:00,UTC,63.4,3.1
2005,12,1,00:00,UTC,34.1,-5.2
2006,1,1,00:00,UTC,17.3,-5.5
2006,2,1,00:00,UTC,17.5,-9.6
2006,3,1,00:00,UTC,30.7,-7.9
2006,4,1,00:00,UTC,33.6,3.4
2006,5,1,00:00,UTC,36.2,9.9
2006,6,1,00:00,UTC,20.9,15.2
2006,7,1,00:00,UTC,,17.9
2006,8,1,00:00,UTC,,17.9
2006,9,1,00:00,UTC,,12.7
2006,10,1,00:00,UTC,,6.2
2006,11,1,00:00,UTC,,0.8
2006,12,1,00:00,UTC,,2.2
2007,1,1,00:00,UTC,,-4
2007,2,1,00:00,UTC,,-11.8
2007,3,1,00:00,UTC,,1.9
2007,4,1,00:00,UTC,,4.3
2007,5,1,00:00,UTC,,9.9
2007,6,1,00:00,UTC,,15.1
2007,7,1,00:00,UTC,,16.2
2007,8,1,00:00,UTC,,16.3
2007,9,1,00:00,UTC,,9.9
2007,10,1,00:00,UTC,,6.1
2007,11,1,00:00,UTC,,-0.7
2007,12,1,00:00,UTC,,0.7
2008,1,1,00:00,UTC,,-1.6
2008,2,1,00:00,UTC,,-1.2
2008,3,1,00:00,UTC,,-2
2008,4,1,00:00,UTC,,4.9
2008,5,1,00:00,UTC,,9.7
2008,6,1,00:00,UTC,,13.5
2008,7,1,00:00,UTC,,15.9
2008,8,1,00:00,UTC,,13.4
2008,9,1,00:00,UTC,,8.4
2008,10,1,00:00,UTC,,6.5
2008,11,1,00:00,UTC,,1
2008,12,1,00:00,UTC,,-0.6
2009,1,1,00:00,UTC,,-6
2009,2,1,00:00,UTC,,-5.7
2009,3,1,00:00,UTC,,-3
2009,4,1,00:00,UTC,,3.7
2009,5,1,00:00,UTC,,10.9
2009,6,1,00:00,UTC,,13.3
2009,7,1,00:00,UTC,,16
2009,8,1,00:00,UTC,,
2009,9,1,00:00,UTC,,11.4
2009,10,1,00:00,UTC,,2.1
2009,11,1,00:00,UTC,,1.4
2009,12,1,00:00,UTC,,-6.9
2010,1,1,00:00,UTC,,-12.9
2010,2,1,00:00,UTC,,-10
2010,3,1,00:00,UTC,,-3.3
2010,4,1,00:00,UTC,,3.8
2010,5,1,00:00,UTC,,11.3
2010,6,1,00:00,UTC,,13.9
2010,7,1,00:00,UTC,,21.1
2010,8,1,00:00,UTC,,
2010,9,1,00:00,UTC,,10.4
2010,10,1,00:00,UTC,,3.9
2010,11,1,00:00,UTC,,-3.5
2010,12,1,00:00,UTC,,-11.7
2011,1,1,00:00,UTC,,-6.7
2011,2,1,00:00,UTC,,-12.5
2011,3,1,00:00,UTC,,-2.3
2011,4,1,00:00,UTC,,5.1
2011,5,1,00:00,UTC,,10.1
2011,6,1,00:00,UTC,,16.9
2011,7,1,00:00,UTC,,19.3
2011,8,1,00:00,UTC,,15.7
2011,9,1,00:00,UTC,,12.2
2011,10,1,00:00,UTC,,6.4
2011,11,1,00:00,UTC,,3.5
2011,12,1,00:00,UTC,,0.8
2012,1,1,00:00,UTC,,-7.1
2012,2,1,00:00,UTC,,-8.9
2012,3,1,00:00,UTC,,-0.6
2012,4,1,00:00,UTC,,2.6
2012,5,1,00:00,UTC,,10.2
